nama_kabupaten_kota,tahun,kendaraan,jalan,penduduk,kepadatan,kemacetan
KABUPATEN BOGOR,2021,1641603,82.35,2025,19934.462659380693,1
KABUPATEN BOGOR,2021,1641603,50.46,2025,32532.758620689656,1
KABUPATEN SUKABUMI,2021,527881,305.36,666,1728.7169242860884,0
KABUPATEN SUKABUMI,2021,527881,8.56,666,61668.34112149532,2
KABUPATEN CIANJUR,2021,465238,131.72,653,3532.0224719101125,0
KABUPATEN CIANJUR,2021,465238,54.68,653,8508.376005852231,0
KABUPATEN BANDUNG,2021,1101946,91.36,2074,12061.580560420316,1
KABUPATEN BANDUNG,2021,1101946,91.36,2074,12061.580560420316,1
KABUPATEN GARUT,2021,435303,286.03,847,1521.878823899591,0
KABUPATEN TASIKMALAYA,2021,315383,115.37,738,2733.665597642368,0
KABUPATEN TASIKMALAYA,2021,315383,1.25,738,252306.4,2
KABUPATEN CIAMIS,2021,282388,28.63,875,9863.36011177087,0
KABUPATEN KUNINGAN,2021,339909,86.33,1063,3937.3219043206304,0
KABUPATEN CIREBON,2021,728240,62.49,2327,11653.704592734837,1
KABUPATEN CIREBON,2021,728240,9.88,2327,73708.50202429149,2
KABUPATEN MAJALENGKA,2021,371218,125.83,1095,2950.154970992609,0
KABUPATEN MAJALENGKA,2021,371218,3.37,1095,110153.70919881306,2
KABUPATEN SUMEDANG,2021,314402,115.8,764,2715.0431778929187,0
KABUPATEN INDRAMAYU,2021,529741,157.49,907,3363.648485618134,0
KABUPATEN INDRAMAYU,2021,529741,0.6,907,882901.6666666667,2
KABUPATEN SUBANG,2021,435275,133.29,849,3265.623827744017,0
KABUPATEN SUBANG,2021,435275,34.89,849,12475.637718543996,1
KABUPATEN PURWAKARTA,2021,309377,57.27,1225,5402.077876724288,0
KABUPATEN PURWAKARTA,2021,309377,13.24,1225,23366.842900302116,1
KABUPATEN KARAWANG,2021,854134,31.16,1494,27411.232349165595,1
KABUPATEN KARAWANG,2021,854134,48.67,1494,17549.496609821246,1
KABUPATEN BEKASI,2021,1494305,10.3,2578,145078.15533980582,2
KABUPATEN BEKASI,2021,1494305,21.23,2578,70386.48139425341,2
KABUPATEN BANDUNG BARAT,2021,622909,61.85,1389,10071.285367825383,0
KABUPATEN BANDUNG BARAT,2021,622909,11.33,1389,54978.72903795234,2
KABUPATEN PANGANDARAN,2021,89411,8.89,423,10057.480314960629,0
KOTA BOGOR,2021,462029,11.16,8881,41400.44802867383,1
KOTA SUKABUMI,2021,118932,26.29,7271,4523.849372384937,0
KOTA SUKABUMI,2021,118932,7.07,7271,16822.06506364922,1
KOTA BANDUNG,2021,1552741,37.93,14630,40937.01555496968,1
KOTA BANDUNG,2021,1552741,0.52,14630,2986040.3846153845,2
KOTA CIREBON,2021,173084,5.95,9017,29089.74789915966,1
KOTA CIREBON,2021,173084,0.6,9017,288473.3333333334,2
KOTA BEKASI,2021,1508613,15.76,12414,95724.17512690356,2
KOTA BEKASI,2021,1508613,6.2,12414,243324.67741935482,2
KOTA DEPOK,2021,1125364,8.93,10415,126020.60470324749,2
KOTA DEPOK,2021,1125364,2.8,10415,401915.7142857143,2
KOTA CIMAHI,2021,291567,10.11,14556,28839.465875370923,1
KOTA CIMAHI,2021,291567,0.75,14556,388756.0,2
KOTA TASIKMALAYA,2021,239838,38.25,4218,6270.274509803921,0
KOTA BANJAR,2021,66760,8.97,1792,7442.586399108138,0
KABUPATEN BOGOR,2022,1666859,82.35,1861,20241.153612629023,1
KABUPATEN BOGOR,2022,1666859,50.46,1861,33033.273880301225,1
KABUPATEN SUKABUMI,2022,534426,305.36,674,1750.1506418653391,0
KABUPATEN SUKABUMI,2022,534426,8.56,674,62432.94392523364,2
KABUPATEN CIANJUR,2022,470866,131.72,700,3574.7494685696934,0
KABUPATEN CIANJUR,2022,470866,54.68,700,8611.302121433797,0
KABUPATEN BANDUNG,2022,1121273,84.68,2136,13241.296646197448,1
KABUPATEN BANDUNG,2022,1121273,42.85,2136,26167.39789964994,1
KABUPATEN GARUT,2022,441237,284.63,847,1550.2125566524962,0
KABUPATEN GARUT,2022,441237,1.4,847,315169.28571428574,2
KABUPATEN TASIKMALAYA,2022,322073,115.37,705,2791.652942706076,0
KABUPATEN TASIKMALAYA,2022,322073,5.0,705,64414.6,2
KABUPATEN CIAMIS,2022,283836,28.63,782,9913.936430317848,0
KABUPATEN KUNINGAN,2022,344965,86.33,1003,3995.8878721186147,0
KABUPATEN CIREBON,2022,740750,62.49,2150,11853.896623459754,1
KABUPATEN CIREBON,2022,740750,9.88,2150,74974.6963562753,2
KABUPATEN MAJALENGKA,2022,374336,125.83,1004,2974.9344353492806,0
KABUPATEN SUMEDANG,2022,320843,106.75,745,3005.5550351288057,0
KABUPATEN SUMEDANG,2022,320843,9.05,745,35452.26519337016,1
