id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_permukaan,panjang_ruas_jalan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,ASPAL,132.81,KILOMETER,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,0.0,KILOMETER,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ASPAL,313.92,KILOMETER,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,0.0,KILOMETER,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ASPAL,186.4,KILOMETER,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK DI ASPAL,0.0,KILOMETER,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,0.0,KILOMETER,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ASPAL,127.53,KILOMETER,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,0.0,KILOMETER,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,ASPAL,286.03,KILOMETER,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK DI ASPAL,0.0,KILOMETER,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,0.0,KILOMETER,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ASPAL,123.65,KILOMETER,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,0.0,KILOMETER,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ASPAL,28.63,KILOMETER,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK DI ASPAL,0.0,KILOMETER,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,0.0,KILOMETER,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ASPAL,86.33,KILOMETER,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK DI ASPAL,0.0,KILOMETER,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,0.0,KILOMETER,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,ASPAL,72.37,KILOMETER,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2019
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,0.0,KILOMETER,2019
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ASPAL,125.83,KILOMETER,2019
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK DI ASPAL,0.0,KILOMETER,2019
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,0.0,KILOMETER,2019
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ASPAL,115.8,KILOMETER,2019
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK DI ASPAL,0.0,KILOMETER,2019
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,0.0,KILOMETER,2019
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ASPAL,157.49,KILOMETER,2019
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK DI ASPAL,0.0,KILOMETER,2019
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,0.0,KILOMETER,2019
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,ASPAL,168.18,KILOMETER,2019
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK DI ASPAL,0.0,KILOMETER,2019
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,0.0,KILOMETER,2019
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ASPAL,70.51,KILOMETER,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK DI ASPAL,0.0,KILOMETER,2019
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,0.0,KILOMETER,2019
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ASPAL,79.83,KILOMETER,2019
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK DI ASPAL,0.0,KILOMETER,2019
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,0.0,KILOMETER,2019
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,ASPAL,3153.0,KILOMETER,2019
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2019
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,0.0,KILOMETER,2019
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ASPAL,73.17,KILOMETER,2019
