id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,mobil_penumpang,bus,truk,sepeda_motor,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,174391,971,46175,1420066,UNIT,2021
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40188,454,19983,467256,UNIT,2021
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38217,647,18949,407425,UNIT,2021
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,119820,964,36697,944465,UNIT,2021
5,32,JAWA BARAT,3205,KABUPATEN GARUT,33352,916,15799,385236,UNIT,2021
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21384,639,11154,282206,UNIT,2021
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22074,930,11123,248261,UNIT,2021
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26843,750,8698,303618,UNIT,2021
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,53290,1255,23831,649864,UNIT,2021
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23476,879,12026,334837,UNIT,2021
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,24195,417,9398,280392,UNIT,2021
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35181,825,17175,476560,UNIT,2021
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,28985,462,11713,394115,UNIT,2021
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31718,334,10463,266862,UNIT,2021
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,89817,1375,29151,733791,UNIT,2021
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,212563,3367,58017,1220358,UNIT,2021
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,66197,502,20851,535359,UNIT,2021
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6283,52,4103,78973,UNIT,2021
19,32,JAWA BARAT,3271,KOTA BOGOR,90003,690,11620,359716,UNIT,2021
20,32,JAWA BARAT,3272,KOTA SUKABUMI,19138,565,4966,94263,UNIT,2021
21,32,JAWA BARAT,3273,KOTA BANDUNG,368406,5654,66345,1112336,UNIT,2021
22,32,JAWA BARAT,3274,KOTA CIREBON,29501,415,12540,130628,UNIT,2021
23,32,JAWA BARAT,3275,KOTA BEKASI,296114,2494,49917,1160088,UNIT,2021
24,32,JAWA BARAT,3276,KOTA DEPOK,186204,727,18954,919479,UNIT,2021
25,32,JAWA BARAT,3277,KOTA CIMAHI,45874,242,6603,238848,UNIT,2021
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27319,1264,11676,199579,UNIT,2021
27,32,JAWA BARAT,3279,KOTA BANJAR,5606,48,2429,58677,UNIT,2021
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,184107,973,48429,1433350,UNIT,2022
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42610,468,20506,470842,UNIT,2022
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40053,641,19337,410835,UNIT,2022
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,125496,982,37762,957033,UNIT,2022
32,32,JAWA BARAT,3205,KABUPATEN GARUT,35819,915,16232,388271,UNIT,2022
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,23041,636,11416,286980,UNIT,2022
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23554,925,11436,247921,UNIT,2022
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28238,599,8926,307202,UNIT,2022
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,56054,1263,24539,658894,UNIT,2022
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24816,859,12123,336538,UNIT,2022
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25420,355,9632,285436,UNIT,2022
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,37554,799,17552,478009,UNIT,2022
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,31871,451,12321,400362,UNIT,2022
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,33335,313,10820,267994,UNIT,2022
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95760,1382,30066,738650,UNIT,2022
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,300651,2331,51445,1147706,UNIT,2022
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69830,516,21395,541983,UNIT,2022
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6822,47,4175,78327,UNIT,2022
46,32,JAWA BARAT,3271,KOTA BOGOR,93048,621,11772,362278,UNIT,2022
47,32,JAWA BARAT,3272,KOTA SUKABUMI,19553,515,5073,95566,UNIT,2022
48,32,JAWA BARAT,3273,KOTA BANDUNG,372806,5512,65987,1107464,UNIT,2022
49,32,JAWA BARAT,3274,KOTA CIREBON,29964,411,12426,130009,UNIT,2022
50,32,JAWA BARAT,3275,KOTA BEKASI,64859,305,6877,306566,UNIT,2022
51,32,JAWA BARAT,3276,KOTA DEPOK,127962,393,12368,620273,UNIT,2022
52,32,JAWA BARAT,3277,KOTA CIMAHI,46876,246,6616,239042,UNIT,2022
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,28825,1302,12231,201379,UNIT,2022
54,32,JAWA BARAT,3279,KOTA BANJAR,5953,58,2501,59135,UNIT,2022
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,193502,1016,49868,1485781,UNIT,2023
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44781,478,20764,480625,UNIT,2023
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41747,639,19490,422844,UNIT,2023
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,130443,984,38386,973384,UNIT,2023
59,32,JAWA BARAT,3205,KABUPATEN GARUT,38134,886,16407,396769,UNIT,2023
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24100,649,11336,294016,UNIT,2023
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24733,867,11538,248580,UNIT,2023
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,29525,569,9079,313328,UNIT,2023
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,58368,1336,25006,670694,UNIT,2023
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,26137,853,12145,336793,UNIT,2023
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,26735,361,9910,290443,UNIT,2023
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,39598,783,17656,481853,UNIT,2023
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,34308,453,12734,408232,UNIT,2023
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,34737,328,11027,273965,UNIT,2023
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,100847,1405,30751,755534,UNIT,2023
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,233260,3545,61401,1258080,UNIT,2023
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,72948,518,21730,554116,UNIT,2023
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7242,49,4174,78671,UNIT,2023
73,32,JAWA BARAT,3271,KOTA BOGOR,95619,630,11852,371715,UNIT,2023
74,32,JAWA BARAT,3272,KOTA SUKABUMI,19900,479,5041,97322,UNIT,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,378111,5688,65742,1113142,UNIT,2023
76,32,JAWA BARAT,3274,KOTA CIREBON,30460,418,12363,130647,UNIT,2023
77,32,JAWA BARAT,3275,KOTA BEKASI,307271,2458,53297,1154277,UNIT,2023
78,32,JAWA BARAT,3276,KOTA DEPOK,200304,738,19699,955647,UNIT,2023
79,32,JAWA BARAT,3277,KOTA CIMAHI,47955,242,6641,242321,UNIT,2023
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,29958,1300,12514,204669,UNIT,2023
81,32,JAWA BARAT,3279,KOTA BANJAR,6218,64,2486,59228,UNIT,2023
82,0,0,0,KABUPATEN BOGOR,198711,1091,50206,1513233,UNIT,2024
83,0,0,0,KABUPATEN SUKABUMI,46152,498,20496,486781,UNIT,2024
84,0,0,0,KABUPATEN CIANJUR,42856,626,19233,431472,UNIT,2024
